Starttime,Endtime,Hall,Production
2006-10-20 22:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-20 22:30:00,1970-01-01 00:00:00,Theaterzaal,5667
2006-10-21 18:00:00,2006-10-21 00:00:00,Mokabon,5633
2006-10-21 18:00:00,2006-10-21 00:00:00,Dansstudio,5635
2006-10-21 18:00:00,2006-10-21 00:00:00,Antiekzolder,5637
2006-10-21 18:00:00,2006-10-21 00:00:00,Zolder,5639
2006-10-21 18:00:00,2006-10-21 00:00:00,Naaikamertje,5641
2006-10-21 18:00:00,2006-10-21 00:00:00,Foyer Domzaal,5643
2006-10-21 20:00:00,1970-01-01 00:00:00,Minard,5529
2006-10-21 22:00:00,1970-01-01 00:00:00,Balzaal,5675
2006-10-21 22:00:00,1970-01-01 00:00:00,Concertzaal,5751
2006-10-24 20:00:00,1970-01-01 00:00:00,Domzaal,5531
2006-10-24 20:00:00,1970-01-01 00:00:00,Theaterzaal,5681
2006-10-25 20:00:00,1970-01-01 00:00:00,Minard,5533
2006-10-25 20:00:00,1970-01-01 00:00:00,Scène Theaterzaal,5621
2006-10-25 21:30:00,1970-01-01 00:00:00,Café,5597
2006-10-26 13:00:00,2006-10-26 21:00:00,Diverse Zalen,5767
2006-10-26 20:00:00,1970-01-01 00:00:00,Minard,5533
2006-10-26 20:30:00,1970-01-01 00:00:00,Balzaal,5615
2006-10-27 13:00:00,2006-10-27 21:00:00,Diverse Zalen,5767
2006-10-27 20:00:00,1970-01-01 00:00:00,Theaterzaal,5535
2006-10-27 20:30:00,1970-01-01 00:00:00,Balzaal,5617
2006-10-27 21:30:00,1970-01-01 00:00:00,Concertzaal,5587
2006-10-28 13:00:00,2006-10-28 21:00:00,Diverse Zalen,5767
2006-10-28 20:00:00,1970-01-01 00:00:00,Theaterzaal,5535
2006-10-28 20:30:00,1970-01-01 00:00:00,Balzaal,5619
2006-10-28 23:00:00,1970-01-01 00:00:00,Concertzaal,5695
2006-10-31 20:30:00,1970-01-01 00:00:00,Balzaal & Brugzaal,5679
2006-10-31 22:00:00,1970-01-01 00:00:00,Concertzaal,5697
2006-11-01 20:30:00,1970-01-01 00:00:00,Balzaal,5573
2006-11-02 20:00:00,1970-01-01 00:00:00,Concertzaal,5515
2006-11-02 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-02 22:00:00,1970-01-01 00:00:00,Café,5611
2006-11-03 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-04 06:06:00,1970-01-01 00:00:00,Diverse Zalen,5683
2006-11-04 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-05 20:00:00,1970-01-01 00:00:00,Concertzaal,5571
2006-11-07 20:00:00,1970-01-01 00:00:00,Theaterzaal,5539
2006-11-07 21:00:00,1970-01-01 00:00:00,Balzaal,5599
2006-11-08 20:00:00,1970-01-01 00:00:00,Theaterzaal,5539
2006-11-09 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-10 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-10 23:00:00,1970-01-01 00:00:00,Concertzaal,5753
2006-11-11 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-11 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5707
2006-11-14 20:00:00,1970-01-01 00:00:00,Minard,5541
2006-11-14 20:00:00,1970-01-01 00:00:00,Balzaal,5563
2006-11-14 20:30:00,1970-01-01 00:00:00,Theaterzaal,5517
2006-11-14 20:30:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5699
2006-11-15 22:00:00,1970-01-01 00:00:00,Concertzaal,5763
2006-11-16 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-16 20:00:00,1970-01-01 00:00:00,Theaterzaal,5543
2006-11-17 19:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-17 20:00:00,1970-01-01 00:00:00,Theaterzaal,5543
2006-11-18 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-18 20:00:00,1970-01-01 00:00:00,Theaterzaal,5543
2006-11-18 22:00:00,1970-01-01 00:00:00,Balzaal,5757
2006-11-18 23:00:00,1970-01-01 00:00:00,Concertzaal,5755
2006-11-19 14:00:00,1970-01-01 00:00:00,Café,5605
2006-11-19 20:00:00,1970-01-01 00:00:00,Theaterzaal,5747
2006-11-21 20:00:00,1970-01-01 00:00:00,Balzaal,5581
2006-11-22 20:00:00,1970-01-01 00:00:00,Theaterzaal,5545
2006-11-22 20:30:00,1970-01-01 00:00:00,Balzaal,5749
2006-11-23 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
